Item,Quantity,Order
BreadBoard,1,http://www.digikey.com/product-detail/en/sparkfun-electronics/PRT-12702/1568-1083-ND/5230952
Humidity Sensor,1,http://www.digikey.com/product-search/en?mpart=HIH-5030-001S&v=480 (pack of 5)
Temperature Sensor,1,http://www.digikey.com/product-detail/en/analog-devices-inc/TMP36GT9Z/TMP36GT9Z-ND/820404
Door Switch,1,https://www.adafruit.com/products/375
820Ohm Resistor,1,
10kOhm Resistor,1,
220kOhm Resistor,2,
Twist-on Wire Connector,5,
9-pin D-sub Cable (male and female connectors),1,
Enclosure Materials,1,
.1ÂµF Capacitor (if make a power board),2,